Fichero Partido,Género Partido,Fase Partido,ID Partido,Ronda Partido,Flag Exento Partido,Torneo,Tipo Torneo
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_35,Pre Previa Ronda 2,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_36,Pre Previa Ronda 2,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_37,Pre Previa Ronda 2,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_38,Pre Previa Ronda 2,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_39,Pre Previa Ronda 2,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_40,Pre Previa Ronda 2,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_41,Pre Previa Ronda 2,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_42,Pre Previa Ronda 2,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_43,Pre Previa Ronda 2,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_44,Pre Previa Ronda 2,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PRE-PREVIA.txt,M,PRE-PREVIA,CHBCN_2015_M_PRE-PREVIA_45,Pre Previa Ronda 2,0,CHALLENGER BARCELONA,CHALLENGER
